STEP;QUERY;TIME (ms)
inference.cypher;UncertainRule-teams-Q495299-Q3873511;145
inference.cypher;TOTAL;145

constraints.cypher;Partial Temporal Consistency;32
constraints.cypher;Partial Temporal Inconsistency;177
constraints.cypher;Total Temporal Inconsistency;126
constraints.cypher;C1 - birthDateConflict;33
constraints.cypher;C1-1 - birthDateConflictPolarity;27
constraints.cypher;C2 - deathDateConflict;30
constraints.cypher;C2-1 - deathDateConflictPolarity;5
constraints.cypher;C3 - birthDeathConflict;35
constraints.cypher;C4 - birthPlayerConflict;27
constraints.cypher;C4 - birthPlayerConflict;46
constraints.cypher;C5 - deathPlayerConflict;13
constraints.cypher;C6 - playerAgeConflict;85
constraints.cypher;C7 - playerTooOldConflict;80
constraints.cypher;C8 - twoTeamsConflict;8902
constraints.cypher;C14 - marriageConflict;138
constraints.cypher;C16 - birthMarriageConflict;6
constraints.cypher;C17 - deathMarriageConflict;4
constraints.cypher;C18 - playerCoachConflict;13
constraints.cypher;C19 - twoCompaniesConflict;22
constraints.cypher;C6 - playerAgeConflict;38
constraints.cypher;TOTAL;9839

stats.cypher;Nb triplets;19
stats.cypher;Nb "o";8
stats.cypher;Nb "s";7
stats.cypher;nb "p";7
stats.cypher;Nb "p" links distribution;11
stats.cypher;Nb conflicts distribution;262
stats.cypher;Nb temporal conflicts;206
stats.cypher;Distribution of linked "o";10
results.cypher;mapping_Neo4j_wikidata;52
results.cypher;inferredNodes;8
results.cypher;tCon_noConflicts;3
results.cypher;tCon_conflicts;292
results.cypher;pCon_noConflicts;642
results.cypher;pCon_conflicts;601
results.cypher;pInc_noConflicts;652
results.cypher;pInc_conflicts;625
results.cypher;tInc_noConflicts;659
results.cypher;tInc_conflicts;625
