STEP;QUERY;TIME (ms)
inference.cypher;UncertainRule-teams-Q495299-Q3873511;132
inference.cypher;TOTAL;132

constraints.cypher;Partial Temporal Consistency;33
constraints.cypher;Partial Temporal Inconsistency;374
constraints.cypher;Total Temporal Inconsistency;323
constraints.cypher;C1 - birthDateConflict;209
constraints.cypher;C1-1 - birthDateConflictPolarity;141
constraints.cypher;C2 - deathDateConflict;186
constraints.cypher;C2-1 - deathDateConflictPolarity;72
constraints.cypher;C3 - birthDeathConflict;221
constraints.cypher;C4 - birthPlayerConflict;28
constraints.cypher;C4 - birthPlayerConflict;524
constraints.cypher;C5 - deathPlayerConflict;266
constraints.cypher;C6 - playerAgeConflict;624
constraints.cypher;C7 - playerTooOldConflict;603
constraints.cypher;C8 - twoTeamsConflict;44613
constraints.cypher;C14 - marriageConflict;211
constraints.cypher;C16 - birthMarriageConflict;83
constraints.cypher;C17 - deathMarriageConflict;51
constraints.cypher;C18 - playerCoachConflict;220
constraints.cypher;C19 - twoCompaniesConflict;34
constraints.cypher;C6 - playerAgeConflict;634
constraints.cypher;TOTAL;49450

stats.cypher;Nb triplets;391
stats.cypher;Nb "o";140
stats.cypher;Nb "s";138
stats.cypher;nb "p";131
stats.cypher;Nb "p" links distribution;235
stats.cypher;Nb conflicts distribution;771
stats.cypher;Nb temporal conflicts;582
stats.cypher;Distribution of linked "o";207
results.cypher;mapping_Neo4j_wikidata;839
results.cypher;inferredNodes;155
results.cypher;tCon_noConflicts;2
results.cypher;tCon_conflicts;1047
results.cypher;pCon_noConflicts;2011
results.cypher;pCon_conflicts;1700
results.cypher;pInc_noConflicts;2052
results.cypher;pInc_conflicts;1734
results.cypher;tInc_noConflicts;2056
results.cypher;tInc_conflicts;1763
