STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;71076
delete.cypher;TOTAL;71076

schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;12

graphSetting.cypher;dataset loading;35388
graphSetting.cypher;TOTAL;35388

constraints.cypher;Partial Temporal Consistency;35
constraints.cypher;Partial Temporal Inconsistency;293
constraints.cypher;Total Temporal Inconsistency;358
constraints.cypher;C1 - birthDateConflict;1530
constraints.cypher;C1-1 - birthDateConflictPolarity;408
constraints.cypher;C2 - deathDateConflict;694
constraints.cypher;C2-1 - deathDateConflictPolarity;217
constraints.cypher;C3 - birthDeathConflict;650
constraints.cypher;C4 - birthPlayerConflict;26
constraints.cypher;C4 - birthPlayerConflict;2338
constraints.cypher;C5 - deathPlayerConflict;541
constraints.cypher;C6 - playerAgeConflict;3542
constraints.cypher;C7 - playerTooOldConflict;4035
constraints.cypher;C8 - twoTeamsConflict;438551
constraints.cypher;C14 - marriageConflict;1147
constraints.cypher;C16 - birthMarriageConflict;239
constraints.cypher;C17 - deathMarriageConflict;117
constraints.cypher;C18 - playerCoachConflict;510
constraints.cypher;C19 - twoCompaniesConflict;154
constraints.cypher;C6 - playerAgeConflict;1959
constraints.cypher;TOTAL;457344

stats.cypher;Nb triplets;865
stats.cypher;Nb "o";332
stats.cypher;Nb "s";339
stats.cypher;nb "p";319
stats.cypher;Nb "p" links distribution;514
stats.cypher;Nb conflicts distribution;12640
stats.cypher;Nb temporal conflicts;9247
stats.cypher;Distribution of linked "o";488
results.cypher;mapping_Neo4j_wikidata;1898
results.cypher;inferredNodes;352
results.cypher;tCon_noConflicts;9
results.cypher;tCon_conflicts;14004
results.cypher;pCon_noConflicts;30861
results.cypher;pCon_conflicts;28124
results.cypher;pInc_noConflicts;31403
results.cypher;pInc_conflicts;28809
results.cypher;tInc_noConflicts;31529
results.cypher;tInc_conflicts;29020
