STEP;QUERY;TIME (ms)
inference.cypher;UncertainRule-teams-Q495299-Q3873511;141
inference.cypher;TOTAL;141

constraints.cypher;Partial Temporal Consistency;30
constraints.cypher;Partial Temporal Inconsistency;495
constraints.cypher;Total Temporal Inconsistency;438
constraints.cypher;C1 - birthDateConflict;593
constraints.cypher;C1-1 - birthDateConflictPolarity;297
constraints.cypher;C2 - deathDateConflict;365
constraints.cypher;C2-1 - deathDateConflictPolarity;169
constraints.cypher;C3 - birthDeathConflict;443
constraints.cypher;C4 - birthPlayerConflict;26
constraints.cypher;C4 - birthPlayerConflict;1223
constraints.cypher;C5 - deathPlayerConflict;445
constraints.cypher;C6 - playerAgeConflict;1536
constraints.cypher;C7 - playerTooOldConflict;1599
constraints.cypher;C8 - twoTeamsConflict;184004
constraints.cypher;C14 - marriageConflict;760
constraints.cypher;C16 - birthMarriageConflict;145
constraints.cypher;C17 - deathMarriageConflict;88
constraints.cypher;C18 - playerCoachConflict;364
constraints.cypher;C19 - twoCompaniesConflict;121
constraints.cypher;C6 - playerAgeConflict;1131
constraints.cypher;TOTAL;194272

stats.cypher;Nb triplets;670
stats.cypher;Nb "o";252
stats.cypher;Nb "s";250
stats.cypher;nb "p";245
stats.cypher;Nb "p" links distribution;401
stats.cypher;Nb conflicts distribution;5247
stats.cypher;Nb temporal conflicts;4027
stats.cypher;Distribution of linked "o";364
results.cypher;mapping_Neo4j_wikidata;1427
results.cypher;inferredNodes;272
results.cypher;tCon_noConflicts;7
results.cypher;tCon_conflicts;6068
results.cypher;pCon_noConflicts;13199
results.cypher;pCon_conflicts;11916
results.cypher;pInc_noConflicts;13367
results.cypher;pInc_conflicts;12243
results.cypher;tInc_noConflicts;13394
results.cypher;tInc_conflicts;12294
