STEP;QUERY;TIME (ms)
inference.cypher;UncertainRule-teams-Q495299-Q3873511;141
inference.cypher;TOTAL;141

constraints.cypher;Partial Temporal Consistency;27
constraints.cypher;Partial Temporal Inconsistency;162
constraints.cypher;Total Temporal Inconsistency;113
constraints.cypher;C1 - birthDateConflict;108
constraints.cypher;C1-1 - birthDateConflictPolarity;74
constraints.cypher;C2 - deathDateConflict;103
constraints.cypher;C2-1 - deathDateConflictPolarity;39
constraints.cypher;C3 - birthDeathConflict;120
constraints.cypher;C4 - birthPlayerConflict;24
constraints.cypher;C4 - birthPlayerConflict;146
constraints.cypher;C5 - deathPlayerConflict;79
constraints.cypher;C6 - playerAgeConflict;183
constraints.cypher;C7 - playerTooOldConflict;187
constraints.cypher;C8 - twoTeamsConflict;8797
constraints.cypher;C14 - marriageConflict;167
constraints.cypher;C16 - birthMarriageConflict;38
constraints.cypher;C17 - deathMarriageConflict;26
constraints.cypher;C18 - playerCoachConflict;59
constraints.cypher;C19 - twoCompaniesConflict;30
constraints.cypher;C6 - playerAgeConflict;180
constraints.cypher;TOTAL;10662

stats.cypher;Nb triplets;144
stats.cypher;Nb "o";49
stats.cypher;Nb "s";48
stats.cypher;nb "p";46
stats.cypher;Nb "p" links distribution;81
stats.cypher;Nb conflicts distribution;187
stats.cypher;Nb temporal conflicts;132
stats.cypher;Distribution of linked "o";78
results.cypher;mapping_Neo4j_wikidata;273
results.cypher;inferredNodes;51
results.cypher;tCon_noConflicts;2
results.cypher;tCon_conflicts;194
results.cypher;pCon_noConflicts;426
results.cypher;pCon_conflicts;363
results.cypher;pInc_noConflicts;441
results.cypher;pInc_conflicts;368
results.cypher;tInc_noConflicts;446
results.cypher;tInc_conflicts;376
