STEP;QUERY;TIME (ms)
inference.cypher;UncertainRule-teams-Q495299-Q3873511;8681
inference.cypher;TOTAL;8681

constraints.cypher;Partial Temporal Consistency;6395
constraints.cypher;Partial Temporal Inconsistency;7848
constraints.cypher;Total Temporal Inconsistency;5751
constraints.cypher;C1;722
constraints.cypher;C1-1;311
constraints.cypher;C2;394
constraints.cypher;C2-1;142
constraints.cypher;C3;294
constraints.cypher;C4;14051
constraints.cypher;C4;13994
constraints.cypher;C5;13278
constraints.cypher;C6;20193
constraints.cypher;C7;12341
constraints.cypher;C8;77785
constraints.cypher;C14;331
constraints.cypher;C16;59
constraints.cypher;C17;58
constraints.cypher;C18;33
constraints.cypher;C19;47
constraints.cypher;C6;14319
constraints.cypher;TOTAL;188346

stats.cypher;Nb triplets;263
stats.cypher;Nb "o";106
stats.cypher;Nb "s";105
stats.cypher;nb "p";105
stats.cypher;Nb "p" links distribution;159
stats.cypher;Nb conflicts distribution;3197
stats.cypher;Nb temporal conflicts;1919
stats.cypher;Distribution of linked "o";150
results.cypher;mapping_Neo4j_wikidata;161
results.cypher;inferredNodes;106
results.cypher;tCon_noConflicts;7
results.cypher;tCon_conflicts;2707
results.cypher;pCon_noConflicts;7491
results.cypher;pCon_conflicts;6535
results.cypher;pInc_noConflicts;7585
results.cypher;pInc_conflicts;6660
results.cypher;tInc_noConflicts;7680
results.cypher;tInc_conflicts;6704
