STEP;QUERY;TIME (ms)
inference.cypher;UncertainRule-teams-Q495299-Q3873511;184
inference.cypher;TOTAL;184

constraints.cypher;Partial Temporal Consistency;31
constraints.cypher;Partial Temporal Inconsistency;508
constraints.cypher;Total Temporal Inconsistency;445
constraints.cypher;C1 - birthDateConflict;938
constraints.cypher;C1-1 - birthDateConflictPolarity;362
constraints.cypher;C2 - deathDateConflict;412
constraints.cypher;C2-1 - deathDateConflictPolarity;198
constraints.cypher;C3 - birthDeathConflict;525
constraints.cypher;C4 - birthPlayerConflict;28
constraints.cypher;C4 - birthPlayerConflict;2463
constraints.cypher;C5 - deathPlayerConflict;546
constraints.cypher;C6 - playerAgeConflict;3305
constraints.cypher;C7 - playerTooOldConflict;3682
constraints.cypher;C8 - twoTeamsConflict;472608
constraints.cypher;C14 - marriageConflict;974
constraints.cypher;C16 - birthMarriageConflict;183
constraints.cypher;C17 - deathMarriageConflict;100
constraints.cypher;C18 - playerCoachConflict;430
constraints.cypher;C19 - twoCompaniesConflict;126
constraints.cypher;C6 - playerAgeConflict;1729
constraints.cypher;TOTAL;489593

stats.cypher;Nb triplets;749
stats.cypher;Nb "o";301
stats.cypher;Nb "s";293
stats.cypher;nb "p";286
stats.cypher;Nb "p" links distribution;455
stats.cypher;Nb conflicts distribution;13418
stats.cypher;Nb temporal conflicts;10240
stats.cypher;Distribution of linked "o";436
results.cypher;mapping_Neo4j_wikidata;1620
results.cypher;inferredNodes;314
results.cypher;tCon_noConflicts;3
results.cypher;tCon_conflicts;15591
results.cypher;pCon_noConflicts;34888
results.cypher;pCon_conflicts;31689
results.cypher;pInc_noConflicts;35181
results.cypher;pInc_conflicts;32854
results.cypher;tInc_noConflicts;35791
results.cypher;tInc_conflicts;33443
