STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;1874
delete.cypher;TOTAL;1874

schema.cypher;indices;3
schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;16

graphSetting.cypher;dataset loading;696
graphSetting.cypher;TOTAL;696

constraints.cypher;Partial Temporal Consistency;31
constraints.cypher;Partial Temporal Inconsistency;165
constraints.cypher;Total Temporal Inconsistency;117
constraints.cypher;C1 - birthDateConflict;51
constraints.cypher;C1-1 - birthDateConflictPolarity;27
constraints.cypher;C2 - deathDateConflict;73
constraints.cypher;C2-1 - deathDateConflictPolarity;7
constraints.cypher;C3 - birthDeathConflict;43
constraints.cypher;C4 - birthPlayerConflict;27
constraints.cypher;C4 - birthPlayerConflict;79
constraints.cypher;C5 - deathPlayerConflict;36
constraints.cypher;C6 - playerAgeConflict;113
constraints.cypher;C7 - playerTooOldConflict;116
constraints.cypher;C8 - twoTeamsConflict;16076
constraints.cypher;C14 - marriageConflict;494
constraints.cypher;C16 - birthMarriageConflict;33
constraints.cypher;C17 - deathMarriageConflict;35
constraints.cypher;C18 - playerCoachConflict;14
constraints.cypher;C19 - twoCompaniesConflict;69
constraints.cypher;C6 - playerAgeConflict;59
constraints.cypher;TOTAL;17665

stats.cypher;Nb triplets;24
stats.cypher;Nb "o";10
stats.cypher;Nb "s";10
stats.cypher;nb "p";10
stats.cypher;Nb "p" links distribution;15
stats.cypher;Nb conflicts distribution;443
stats.cypher;Nb temporal conflicts;336
stats.cypher;Distribution of linked "o";14
results.cypher;mapping_Neo4j_wikidata;47
results.cypher;inferredNodes;11
results.cypher;tCon_noConflicts;5
results.cypher;tCon_conflicts;481
results.cypher;pCon_noConflicts;1053
results.cypher;pCon_conflicts;985
results.cypher;pInc_noConflicts;1096
results.cypher;pInc_conflicts;1027
results.cypher;tInc_noConflicts;1104
results.cypher;tInc_conflicts;1045
