type;ID_TF;ID_s;ID_p
sameAs;Q11971-Q11971;Q11971;Q11971
sameAs;09680101-09680101;09680101;09680101
sameAs;19310216-19310216;19310216;19310216
sameAs;-16000101--16000101;-16000101;-16000101
sameAs;19551215-19551215;19551215;19551215
sameAs;Q35940-Q35940;Q35940;Q35940
sameAs;18170412-18170412;18170412;18170412
sameAs;18340219-18340219;18340219;18340219
sameAs;Q2312334-Q2312334;Q2312334;Q2312334
sameAs;Q11979-Q11979;Q11979;Q11979
sameAs;Q1329368-Q1329368;Q1329368;Q1329368
sameAs;Q42235-Q42235;Q42235;Q42235
sameAs;18960420-18960420;18960420;18960420
sameAs;Q42231-Q42231;Q42231;Q42231
sameAs;18820118-18820118;18820118;18820118
sameAs;Q2006-Q2006;Q2006;Q2006
sameAs;Q23959-Q23959;Q23959;Q23959
sameAs;17060117-17060117;17060117;17060117
sameAs;19620311-19620311;19620311;19620311
sameAs;Q216032-Q216032;Q216032;Q216032
sameAs;19590826-19590826;19590826;19590826
sameAs;Q4671-Q4671;Q4671;Q4671
sameAs;14000101-14000101;14000101;14000101
sameAs;Q11987-Q11987;Q11987;Q11987
sameAs;Q43558-Q43558;Q43558;Q43558
sameAs;19280729-19280729;19280729;19280729
sameAs;Q35933-Q35933;Q35933;Q35933
sameAs;19721026-19721026;19721026;19721026
sameAs;Q870173-Q870173;Q870173;Q870173
sameAs;Q44881-Q44881;Q44881;Q44881
sameAs;19241106-19241106;19241106;19241106
sameAs;19210831-19210831;19210831;19210831
sameAs;19470113-19470113;19470113;19470113
sameAs;Q2028843-Q2028843;Q2028843;Q2028843
sameAs;19620322-19620322;19620322;19620322
sameAs;19380101-19380101;19380101;19380101
sameAs;Q206692-Q206692;Q206692;Q206692
sameAs;18100525-18100525;18100525;18100525
sameAs;Q7232579-Q7232579;Q7232579;Q7232579
sameAs;07270109-07270109;07270109;07270109
sameAs;18630730-18630730;18630730;18630730
sameAs;Q870182-Q870182;Q870182;Q870182
sameAs;20040728-20040728;20040728;20040728
sameAs;Q654486-Q654486;Q654486;Q654486
sameAs;Q42255-Q42255;Q42255;Q42255
sameAs;Q23971-Q23971;Q23971;Q23971
sameAs;11500109-11500109;11500109;11500109
sameAs;19760608-19760608;19760608;19760608
sameAs;Q19006-Q19006;Q19006;Q19006
sameAs;17931223-17931223;17931223;17931223
sameAs;Q34624-Q34624;Q34624;Q34624
sameAs;Q680770-Q680770;Q680770;Q680770
sameAs;Q23035995-Q23035995;Q23035995;Q23035995
sameAs;Q19007-Q19007;Q19007;Q19007
sameAs;19380105-19380105;19380105;19380105
sameAs;Q3356-Q3356;Q3356;Q3356
sameAs;19380102-19380102;19380102;19380102
sameAs;Q19009-Q19009;Q19009;Q19009
sameAs;08860309-08860309;08860309;08860309
sameAs;18800508-18800508;18800508;18800508
sameAs;19241127-19241127;19241127;19241127
sameAs;11410101-11410101;11410101;11410101
sameAs;19600714-19600714;19600714;19600714
sameAs;00601130-00601130;00601130;00601130
sameAs;19620306-19620306;19620306;19620306
sameAs;19620305-19620305;19620305;19620305
sameAs;19760617-19760617;19760617;19760617
sameAs;19220206-19220206;19220206;19220206
sameAs;Q7728-Q7728;Q7728;Q7728
sameAs;20060331-20060331;20060331;20060331
sameAs;Q10681-Q10681;Q10681;Q10681
sameAs;Q10685-Q10685;Q10685;Q10685
sameAs;18361115-18361115;18361115;18361115
sameAs;19200602-19200602;19200602;19200602
sameAs;Q169165-Q169165;Q169165;Q169165
sameAs;Q45305-Q45305;Q45305;Q45305
