STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;19524
delete.cypher;TOTAL;19524

schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;10

graphSetting.cypher;dataset loading;13520
graphSetting.cypher;TOTAL;13520

constraints.cypher;Strict Temporal Consistency;18503
constraints.cypher;C1 - birthDateConflict;393
constraints.cypher;C2 - deathDateConflict;163
constraints.cypher;C3 - birthDeathConflict;220
constraints.cypher;C4 - birthPlayerConflict;536
constraints.cypher;C5 - deathPlayerConflict;110
constraints.cypher;C6 - playerAgeConflict;877
constraints.cypher;C7 - playerTooOldConflict;922
constraints.cypher;C8 - twoTeamsConflict;86952
constraints.cypher;C14 - marriageConflict;748
constraints.cypher;C16 - birthMarriageConflict;67
constraints.cypher;C17 - deathMarriageConflict;55
constraints.cypher;C18 - playerCoachConflict;88
constraints.cypher;C19 - twoCompaniesConflict;84
constraints.cypher;TOTAL;109718

stats.cypher;Nb triplets;272
stats.cypher;Nb "o";94
stats.cypher;Nb "s";91
stats.cypher;nb "p";89
stats.cypher;Nb "p" links distribution;137
stats.cypher;Nb conflicts distribution;2936
stats.cypher;Nb temporal conflicts;2348
stats.cypher;Distribution of linked "o";135
results.cypher;mapping_Neo4j_wikidata;521
results.cypher;inferredNodes;84
results.cypher;tCon_noConflicts;22
results.cypher;tCon_conflicts;3222
results.cypher;pCon_noConflicts;6427
results.cypher;pCon_conflicts;6037
results.cypher;pInc_noConflicts;6444
results.cypher;pInc_conflicts;6271
results.cypher;tInc_noConflicts;6676
results.cypher;tInc_conflicts;6419
