type;ID_TF;ID_s;ID_p
sameAs;Q102026-Q102026;Q102026;Q102026
sameAs;Q429804-Q429804;Q429804;Q429804
sameAs;Q116671-Q116671;Q116671;Q116671
sameAs;16070509-16070509;16070509;16070509
sameAs;Q165602-Q165602;Q165602;Q165602
sameAs;Q116676-Q116676;Q116676;Q116676
sameAs;Q102013-Q102013;Q102013;Q102013
sameAs;Q126006-Q126006;Q126006;Q126006
sameAs;Q371966-Q371966;Q371966;Q371966
sameAs;Q102017-Q102017;Q102017;Q102017
sameAs;Q332385-Q332385;Q332385;Q332385
sameAs;Q381317-Q381317;Q381317;Q381317
sameAs;Q102011-Q102011;Q102011;Q102011
sameAs;Q102012-Q102012;Q102012;Q102012
sameAs;19060630-19060630;19060630;19060630
sameAs;Q381326-Q381326;Q381326;Q381326
sameAs;Q116655-Q116655;Q116655;Q116655
sameAs;Q3479508-Q3479508;Q3479508;Q3479508
sameAs;Q102041-Q102041;Q102041;Q102041
sameAs;Q297493-Q297493;Q297493;Q297493
sameAs;Q332360-Q332360;Q332360;Q332360
sameAs;Q116668-Q116668;Q116668;Q116668
sameAs;Q356311-Q356311;Q356311;Q356311
sameAs;Q381333-Q381333;Q381333;Q381333
sameAs;Q165639-Q165639;Q165639;Q165639
sameAs;Q332367-Q332367;Q332367;Q332367
sameAs;Q356314-Q356314;Q356314;Q356314
sameAs;Q297495-Q297495;Q297495;Q297495
sameAs;Q102033-Q102033;Q102033;Q102033
sameAs;Q875889-Q875889;Q875889;Q875889
sameAs;Q297498-Q297498;Q297498;Q297498
sameAs;Q102034-Q102034;Q102034;Q102034
sameAs;Q297499-Q297499;Q297499;Q297499
sameAs;Q165633-Q165633;Q165633;Q165633
sameAs;Q126037-Q126037;Q126037;Q126037
sameAs;18491211-18491211;18491211;18491211
sameAs;20071009-20071009;20071009;20071009
sameAs;Q102068-Q102068;Q102068;Q102068
sameAs;18491212-18491212;18491212;18491212
sameAs;Q371930-Q371930;Q371930;Q371930
sameAs;20071005-20071005;20071005;20071005
sameAs;Q346975-Q346975;Q346975;Q346975
sameAs;Q6722853-Q6722853;Q6722853;Q6722853
sameAs;20071006-20071006;20071006;20071006
sameAs;20071002-20071002;20071002;20071002
sameAs;Q332336-Q332336;Q332336;Q332336
sameAs;18060803-18060803;18060803;18060803
sameAs;18060802-18060802;18060802;18060802
sameAs;Q102060-Q102060;Q102060;Q102060
sameAs;18491214-18491214;18491214;18491214
sameAs;18491215-18491215;18491215;18491215
sameAs;Q102064-Q102064;Q102064;Q102064
sameAs;16780712-16780712;16780712;16780712
sameAs;Q430824-Q430824;Q430824;Q430824
sameAs;Q371922-Q371922;Q371922;Q371922
sameAs;Q322999-Q322999;Q322999;Q322999
sameAs;Q381359-Q381359;Q381359;Q381359
sameAs;Q381357-Q381357;Q381357;Q381357
sameAs;Q102052-Q102052;Q102052;Q102052
sameAs;18491208-18491208;18491208;18491208
sameAs;Q102050-Q102050;Q102050;Q102050
sameAs;Q126045-Q126045;Q126045;Q126045
sameAs;18491204-18491204;18491204;18491204
sameAs;18491205-18491205;18491205;18491205
sameAs;18491206-18491206;18491206;18491206
sameAs;Q371910-Q371910;Q371910;Q371910
sameAs;20071026-20071026;20071026;20071026
sameAs;18021219-18021219;18021219;18021219
sameAs;Q430817-Q430817;Q430817;Q430817
sameAs;20071027-20071027;20071027;20071027
sameAs;Q346950-Q346950;Q346950;Q346950
sameAs;20071029-20071029;20071029;20071029
sameAs;Q116692-Q116692;Q116692;Q116692
sameAs;20071023-20071023;20071023;20071023
sameAs;20071024-20071024;20071024;20071024
sameAs;19070000-19070000;19070000;19070000
sameAs;20071020-20071020;20071020;20071020
sameAs;Q116694-Q116694;Q116694;Q116694
sameAs;19890706-19890706;19890706;19890706
sameAs;19890707-19890707;19890707;19890707
sameAs;19890704-19890704;19890704;19890704
sameAs;19890705-19890705;19890705;19890705
sameAs;19890702-19890702;19890702;19890702
sameAs;Q102080-Q102080;Q102080;Q102080
sameAs;Q332311-Q332311;Q332311;Q332311
sameAs;19890701-19890701;19890701;19890701
sameAs;Q381369-Q381369;Q381369;Q381369
sameAs;18021215-18021215;18021215;18021215
sameAs;Q102089-Q102089;Q102089;Q102089
sameAs;Q102086-Q102086;Q102086;Q102086
sameAs;20071019-20071019;20071019;20071019
sameAs;16780726-16780726;16780726;16780726
sameAs;Q430801-Q430801;Q430801;Q430801
sameAs;16780729-16780729;16780729;16780729
sameAs;20071016-20071016;20071016;20071016
sameAs;Q430805-Q430805;Q430805;Q430805
sameAs;20071018-20071018;20071018;20071018
sameAs;20071011-20071011;20071011;20071011
sameAs;20071013-20071013;20071013;20071013
sameAs;Q1538737-Q1538737;Q1538737;Q1538737
sameAs;Q141649-Q141649;Q141649;Q141649
sameAs;Q5962715-Q5962715;Q5962715;Q5962715
sameAs;Q332320-Q332320;Q332320;Q332320
sameAs;Q102073-Q102073;Q102073;Q102073
sameAs;Q836279-Q836279;Q836279;Q836279
sameAs;Q126021-Q126021;Q126021;Q126021
sameAs;18021203-18021203;18021203;18021203
sameAs;Q102077-Q102077;Q102077;Q102077
sameAs;Q405865-Q405865;Q405865;Q405865
sameAs;Q102075-Q102075;Q102075;Q102075
sameAs;Q126024-Q126024;Q126024;Q126024
sameAs;Q669543-Q669543;Q669543;Q669543
sameAs;Q102076-Q102076;Q102076;Q102076
sameAs;19420703-19420703;19420703;19420703
sameAs;19420704-19420704;19420704;19420704
sameAs;19420705-19420705;19420705;19420705
sameAs;19420706-19420706;19420706;19420706
sameAs;17550220-17550220;17550220;17550220
sameAs;19420708-19420708;19420708;19420708
sameAs;19420709-19420709;19420709;19420709
sameAs;19890720-19890720;19890720;19890720
sameAs;Q61393-Q61393;Q61393;Q61393
sameAs;19890721-19890721;19890721;19890721
sameAs;18310406-18310406;18310406;18310406
sameAs;Q454840-Q454840;Q454840;Q454840
sameAs;Q454843-Q454843;Q454843;Q454843
sameAs;19890728-19890728;19890728;19890728
sameAs;Q297447-Q297447;Q297447;Q297447
sameAs;19890729-19890729;19890729;19890729
sameAs;19890726-19890726;19890726;19890726
