STEP;QUERY;TIME (ms)
inference.cypher;UncertainRule-teams-Q495299-Q3873511;133
inference.cypher;TOTAL;133

constraints.cypher;Partial Temporal Consistency;28
constraints.cypher;Partial Temporal Inconsistency;250
constraints.cypher;Total Temporal Inconsistency;207
constraints.cypher;C1 - birthDateConflict;256
constraints.cypher;C1-1 - birthDateConflictPolarity;130
constraints.cypher;C2 - deathDateConflict;160
constraints.cypher;C2-1 - deathDateConflictPolarity;75
constraints.cypher;C3 - birthDeathConflict;205
constraints.cypher;C4 - birthPlayerConflict;24
constraints.cypher;C4 - birthPlayerConflict;490
constraints.cypher;C5 - deathPlayerConflict;148
constraints.cypher;C6 - playerAgeConflict;624
constraints.cypher;C7 - playerTooOldConflict;679
constraints.cypher;C8 - twoTeamsConflict;74258
constraints.cypher;C14 - marriageConflict;596
constraints.cypher;C16 - birthMarriageConflict;63
constraints.cypher;C17 - deathMarriageConflict;45
constraints.cypher;C18 - playerCoachConflict;97
constraints.cypher;C19 - twoCompaniesConflict;73
constraints.cypher;C6 - playerAgeConflict;372
constraints.cypher;TOTAL;78780

stats.cypher;Nb triplets;218
stats.cypher;Nb "o";84
stats.cypher;Nb "s";80
stats.cypher;nb "p";78
stats.cypher;Nb "p" links distribution;127
stats.cypher;Nb conflicts distribution;2618
stats.cypher;Nb temporal conflicts;2025
stats.cypher;Distribution of linked "o";120
results.cypher;mapping_Neo4j_wikidata;437
results.cypher;inferredNodes;84
results.cypher;tCon_noConflicts;7
results.cypher;tCon_conflicts;2815
results.cypher;pCon_noConflicts;6086
results.cypher;pCon_conflicts;5889
results.cypher;pInc_noConflicts;6335
results.cypher;pInc_conflicts;6014
results.cypher;tInc_noConflicts;6354
results.cypher;tInc_conflicts;6100
