STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;11036
delete.cypher;TOTAL;11036

schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;11

graphSetting.cypher;dataset loading;18688
graphSetting.cypher;TOTAL;18688

constraints.cypher;Partial Temporal Consistency;26
constraints.cypher;Partial Temporal Inconsistency;167
constraints.cypher;Total Temporal Inconsistency;338
constraints.cypher;C1 - birthDateConflict;1468
constraints.cypher;C1-1 - birthDateConflictPolarity;300
constraints.cypher;C2 - deathDateConflict;433
constraints.cypher;C2-1 - deathDateConflictPolarity;166
constraints.cypher;C3 - birthDeathConflict;549
constraints.cypher;C4 - birthPlayerConflict;23
constraints.cypher;C4 - birthPlayerConflict;1945
constraints.cypher;C5 - deathPlayerConflict;350
constraints.cypher;C6 - playerAgeConflict;3011
constraints.cypher;C7 - playerTooOldConflict;3490
constraints.cypher;C8 - twoTeamsConflict;401913
constraints.cypher;C14 - marriageConflict;1049
constraints.cypher;C16 - birthMarriageConflict;207
constraints.cypher;C17 - deathMarriageConflict;118
constraints.cypher;C18 - playerCoachConflict;446
constraints.cypher;C19 - twoCompaniesConflict;184
constraints.cypher;C6 - playerAgeConflict;1556
constraints.cypher;TOTAL;417739

stats.cypher;Nb triplets;626
stats.cypher;Nb "o";245
stats.cypher;Nb "s";237
stats.cypher;nb "p";231
stats.cypher;Nb "p" links distribution;359
stats.cypher;Nb conflicts distribution;12179
stats.cypher;Nb temporal conflicts;9314
stats.cypher;Distribution of linked "o";342
results.cypher;mapping_Neo4j_wikidata;1284
results.cypher;inferredNodes;244
results.cypher;tCon_noConflicts;17
results.cypher;tCon_conflicts;12511
results.cypher;pCon_noConflicts;27620
results.cypher;pCon_conflicts;27000
results.cypher;pInc_noConflicts;28052
results.cypher;pInc_conflicts;27604
results.cypher;tInc_noConflicts;28718
results.cypher;tInc_conflicts;28156
