STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;4868
delete.cypher;TOTAL;4868

schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;11

graphSetting.cypher;dataset loading;2503
graphSetting.cypher;TOTAL;2503

constraints.cypher;Partial Temporal Consistency;28
constraints.cypher;Partial Temporal Inconsistency;161
constraints.cypher;Total Temporal Inconsistency;114
constraints.cypher;C1 - birthDateConflict;76
constraints.cypher;C1-1 - birthDateConflictPolarity;45
constraints.cypher;C2 - deathDateConflict;73
constraints.cypher;C2-1 - deathDateConflictPolarity;20
constraints.cypher;C3 - birthDeathConflict;81
constraints.cypher;C4 - birthPlayerConflict;77
constraints.cypher;C4 - birthPlayerConflict;105
constraints.cypher;C5 - deathPlayerConflict;68
constraints.cypher;C6 - playerAgeConflict;149
constraints.cypher;C7 - playerTooOldConflict;116
constraints.cypher;C8 - twoTeamsConflict;5443
constraints.cypher;C14 - marriageConflict;286
constraints.cypher;C16 - birthMarriageConflict;30
constraints.cypher;C17 - deathMarriageConflict;26
constraints.cypher;C18 - playerCoachConflict;67
constraints.cypher;C19 - twoCompaniesConflict;62
constraints.cypher;C6 - playerAgeConflict;144
constraints.cypher;TOTAL;7171

stats.cypher;Nb triplets;72
stats.cypher;Nb "o";26
stats.cypher;Nb "s";25
stats.cypher;nb "p";24
stats.cypher;Nb "p" links distribution;39
stats.cypher;Nb conflicts distribution;91
stats.cypher;Nb temporal conflicts;75
stats.cypher;Distribution of linked "o";38
results.cypher;mapping_Neo4j_wikidata;316
results.cypher;inferredNodes;27
results.cypher;tCon_noConflicts;9
results.cypher;tCon_conflicts;101
results.cypher;pCon_noConflicts;225
results.cypher;pCon_conflicts;182
results.cypher;pInc_noConflicts;228
results.cypher;pInc_conflicts;188
results.cypher;tInc_noConflicts;230
results.cypher;tInc_conflicts;193
