STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;11125
delete.cypher;TOTAL;11125

schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;11

graphSetting.cypher;dataset loading;10937
graphSetting.cypher;TOTAL;10937

constraints.cypher;Strict Temporal Consistency;10325
constraints.cypher;C1 - birthDateConflict;83
constraints.cypher;C2 - deathDateConflict;73
constraints.cypher;C3 - birthDeathConflict;123
constraints.cypher;C4 - birthPlayerConflict;128
constraints.cypher;C5 - deathPlayerConflict;54
constraints.cypher;C6 - playerAgeConflict;237
constraints.cypher;C7 - playerTooOldConflict;196
constraints.cypher;C8 - twoTeamsConflict;9372
constraints.cypher;C14 - marriageConflict;193
constraints.cypher;C16 - birthMarriageConflict;37
constraints.cypher;C17 - deathMarriageConflict;28
constraints.cypher;C18 - playerCoachConflict;45
constraints.cypher;C19 - twoCompaniesConflict;40
constraints.cypher;TOTAL;20934

stats.cypher;Nb triplets;168
stats.cypher;Nb "o";58
stats.cypher;Nb "s";58
stats.cypher;nb "p";57
stats.cypher;Nb "p" links distribution;87
stats.cypher;Nb conflicts distribution;316
stats.cypher;Nb temporal conflicts;253
stats.cypher;Distribution of linked "o";86
results.cypher;mapping_Neo4j_wikidata;330
results.cypher;inferredNodes;55
results.cypher;tCon_noConflicts;3
results.cypher;tCon_conflicts;373
results.cypher;pCon_noConflicts;722
results.cypher;pCon_conflicts;656
results.cypher;pInc_noConflicts;744
results.cypher;pInc_conflicts;669
results.cypher;tInc_noConflicts;778
results.cypher;tInc_conflicts;683
