STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;82965
delete.cypher;TOTAL;82965

schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;11

graphSetting.cypher;dataset loading;31519
graphSetting.cypher;TOTAL;31519

constraints.cypher;Partial Temporal Consistency;32
constraints.cypher;Partial Temporal Inconsistency;285
constraints.cypher;Total Temporal Inconsistency;230
constraints.cypher;C1 - birthDateConflict;1630
constraints.cypher;C1-1 - birthDateConflictPolarity;384
constraints.cypher;C2 - deathDateConflict;661
constraints.cypher;C2-1 - deathDateConflictPolarity;216
constraints.cypher;C3 - birthDeathConflict;833
constraints.cypher;C4 - birthPlayerConflict;107
constraints.cypher;C4 - birthPlayerConflict;2773
constraints.cypher;C5 - deathPlayerConflict;478
constraints.cypher;C6 - playerAgeConflict;3669
constraints.cypher;C7 - playerTooOldConflict;4194
constraints.cypher;C8 - twoTeamsConflict;430227
constraints.cypher;C14 - marriageConflict;1069
constraints.cypher;C16 - birthMarriageConflict;222
constraints.cypher;C17 - deathMarriageConflict;112
constraints.cypher;C18 - playerCoachConflict;522
constraints.cypher;C19 - twoCompaniesConflict;169
constraints.cypher;C6 - playerAgeConflict;1991
constraints.cypher;TOTAL;449804

stats.cypher;Nb triplets;765
stats.cypher;Nb "o";312
stats.cypher;Nb "s";302
stats.cypher;nb "p";294
stats.cypher;Nb "p" links distribution;476
stats.cypher;Nb conflicts distribution;13559
stats.cypher;Nb temporal conflicts;10268
stats.cypher;Distribution of linked "o";449
results.cypher;mapping_Neo4j_wikidata;1656
results.cypher;inferredNodes;328
results.cypher;tCon_noConflicts;12
results.cypher;tCon_conflicts;15545
results.cypher;pCon_noConflicts;34404
results.cypher;pCon_conflicts;31493
results.cypher;pInc_noConflicts;35539
results.cypher;pInc_conflicts;32716
results.cypher;tInc_noConflicts;35789
results.cypher;tInc_conflicts;33043
