STEP;QUERY;TIME (ms)
inference.cypher;UncertainRule-teams-Q495299-Q3873511;130
inference.cypher;TOTAL;130

constraints.cypher;Partial Temporal Consistency;40
constraints.cypher;Partial Temporal Inconsistency;185
constraints.cypher;Total Temporal Inconsistency;131
constraints.cypher;C1 - birthDateConflict;42
constraints.cypher;C1-1 - birthDateConflictPolarity;29
constraints.cypher;C2 - deathDateConflict;33
constraints.cypher;C2-1 - deathDateConflictPolarity;7
constraints.cypher;C3 - birthDeathConflict;39
constraints.cypher;C4 - birthPlayerConflict;26
constraints.cypher;C4 - birthPlayerConflict;107
constraints.cypher;C5 - deathPlayerConflict;39
constraints.cypher;C6 - playerAgeConflict;141
constraints.cypher;C7 - playerTooOldConflict;146
constraints.cypher;C8 - twoTeamsConflict;18676
constraints.cypher;C14 - marriageConflict;448
constraints.cypher;C16 - birthMarriageConflict;9
constraints.cypher;C17 - deathMarriageConflict;9
constraints.cypher;C18 - playerCoachConflict;17
constraints.cypher;C19 - twoCompaniesConflict;22
constraints.cypher;C6 - playerAgeConflict;64
constraints.cypher;TOTAL;20210

stats.cypher;Nb triplets;27
stats.cypher;Nb "o";11
stats.cypher;Nb "s";11
stats.cypher;nb "p";10
stats.cypher;Nb "p" links distribution;16
stats.cypher;Nb conflicts distribution;590
stats.cypher;Nb temporal conflicts;452
stats.cypher;Distribution of linked "o";15
results.cypher;mapping_Neo4j_wikidata;71
results.cypher;inferredNodes;17
results.cypher;tCon_noConflicts;12
results.cypher;tCon_conflicts;646
results.cypher;pCon_noConflicts;1422
results.cypher;pCon_conflicts;1392
results.cypher;pInc_noConflicts;1467
results.cypher;pInc_conflicts;1407
results.cypher;tInc_noConflicts;1519
results.cypher;tInc_conflicts;1427
