STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;10035
delete.cypher;TOTAL;10035

schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;10

graphSetting.cypher;dataset loading;29473
graphSetting.cypher;TOTAL;29473

constraints.cypher;Strict Temporal Consistency;57174
constraints.cypher;C1 - birthDateConflict;1024
constraints.cypher;C2 - deathDateConflict;334
constraints.cypher;C3 - birthDeathConflict;441
constraints.cypher;C4 - birthPlayerConflict;1446
constraints.cypher;C5 - deathPlayerConflict;207
constraints.cypher;C6 - playerAgeConflict;2415
constraints.cypher;C7 - playerTooOldConflict;2725
constraints.cypher;C8 - twoTeamsConflict;285243
constraints.cypher;C14 - marriageConflict;1054
constraints.cypher;C16 - birthMarriageConflict;160
constraints.cypher;C17 - deathMarriageConflict;92
constraints.cypher;C18 - playerCoachConflict;238
constraints.cypher;C19 - twoCompaniesConflict;164
constraints.cypher;TOTAL;352717

stats.cypher;Nb triplets;516
stats.cypher;Nb "o";198
stats.cypher;Nb "s";193
stats.cypher;nb "p";195
stats.cypher;Nb "p" links distribution;285
stats.cypher;Nb conflicts distribution;9027
stats.cypher;Nb temporal conflicts;7302
stats.cypher;Distribution of linked "o";273
results.cypher;mapping_Neo4j_wikidata;1115
results.cypher;inferredNodes;178
results.cypher;tCon_noConflicts;46
results.cypher;tCon_conflicts;10105
results.cypher;pCon_noConflicts;19947
results.cypher;pCon_conflicts;19790
results.cypher;pInc_noConflicts;20526
results.cypher;pInc_conflicts;20012
results.cypher;tInc_noConflicts;21073
results.cypher;tInc_conflicts;21065
