STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;2388
delete.cypher;TOTAL;2388

schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;3
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;13

graphSetting.cypher;dataset loading;2066
graphSetting.cypher;TOTAL;2066

constraints.cypher;Strict Temporal Consistency;824
constraints.cypher;C1 - birthDateConflict;34
constraints.cypher;C2 - deathDateConflict;33
constraints.cypher;C3 - birthDeathConflict;39
constraints.cypher;C4 - birthPlayerConflict;44
constraints.cypher;C5 - deathPlayerConflict;30
constraints.cypher;C6 - playerAgeConflict;79
constraints.cypher;C7 - playerTooOldConflict;52
constraints.cypher;C8 - twoTeamsConflict;2477
constraints.cypher;C14 - marriageConflict;215
constraints.cypher;C16 - birthMarriageConflict;15
constraints.cypher;C17 - deathMarriageConflict;14
constraints.cypher;C18 - playerCoachConflict;40
constraints.cypher;C19 - twoCompaniesConflict;53
constraints.cypher;TOTAL;3949

stats.cypher;Nb triplets;34
stats.cypher;Nb "o";14
stats.cypher;Nb "s";12
stats.cypher;nb "p";12
stats.cypher;Nb "p" links distribution;19
stats.cypher;Nb conflicts distribution;75
stats.cypher;Nb temporal conflicts;68
stats.cypher;Distribution of linked "o";17
results.cypher;mapping_Neo4j_wikidata;79
results.cypher;inferredNodes;13
results.cypher;tCon_noConflicts;12
results.cypher;tCon_conflicts;101
results.cypher;pCon_noConflicts;190
results.cypher;pCon_conflicts;180
results.cypher;pInc_noConflicts;188
results.cypher;pInc_conflicts;176
results.cypher;tInc_noConflicts;192
results.cypher;tInc_conflicts;187
