STEP;QUERY;TIME (ms)
inference.cypher;UncertainRule-teams-Q495299-Q3873511;131
inference.cypher;TOTAL;131

constraints.cypher;Partial Temporal Consistency;31
constraints.cypher;Partial Temporal Inconsistency;449
constraints.cypher;Total Temporal Inconsistency;399
constraints.cypher;C1 - birthDateConflict;628
constraints.cypher;C1-1 - birthDateConflictPolarity;304
constraints.cypher;C2 - deathDateConflict;357
constraints.cypher;C2-1 - deathDateConflictPolarity;172
constraints.cypher;C3 - birthDeathConflict;450
constraints.cypher;C4 - birthPlayerConflict;27
constraints.cypher;C4 - birthPlayerConflict;1581
constraints.cypher;C5 - deathPlayerConflict;447
constraints.cypher;C6 - playerAgeConflict;2054
constraints.cypher;C7 - playerTooOldConflict;2248
constraints.cypher;C8 - twoTeamsConflict;281671
constraints.cypher;C14 - marriageConflict;1012
constraints.cypher;C16 - birthMarriageConflict;150
constraints.cypher;C17 - deathMarriageConflict;90
constraints.cypher;C18 - playerCoachConflict;382
constraints.cypher;C19 - twoCompaniesConflict;123
constraints.cypher;C6 - playerAgeConflict;1315
constraints.cypher;TOTAL;293890

stats.cypher;Nb triplets;625
stats.cypher;Nb "o";246
stats.cypher;Nb "s";240
stats.cypher;nb "p";238
stats.cypher;Nb "p" links distribution;384
stats.cypher;Nb conflicts distribution;8237
stats.cypher;Nb temporal conflicts;6344
stats.cypher;Distribution of linked "o";335
results.cypher;mapping_Neo4j_wikidata;1344
results.cypher;inferredNodes;262
results.cypher;tCon_noConflicts;7
results.cypher;tCon_conflicts;10011
results.cypher;pCon_noConflicts;21358
results.cypher;pCon_conflicts;19679
results.cypher;pInc_noConflicts;22017
results.cypher;pInc_conflicts;20228
results.cypher;tInc_noConflicts;22253
results.cypher;tInc_conflicts;20655
